标题,内容,点赞,收藏,评论,笔记链接,图片链接,作者,keyword:洛阳 自由行 攻略,2025年02月28日 13:54
2-3月淡季准备来洛阳的姐妹👭，一定要看,"淡季来洛阳游玩真好！不冷不热。不过这座城市还	是很值得打卡的!下次还会再来!不做攻略不要来洛阳!回来后给大家整理了这份洛阳旅游攻略!希望能帮助到想去洛阳玩的姐妹们
✅怎么到洛阳
👉洛阳北郊机场:洛阳只有这一个机场，没有直达的地铁，距离最近的2号线地铁口二乔站5.8公里
👉龙门高铁站:高铁都到这里下车
👉洛阳火车站:火车都到这里，简称“洛阳站”
✅需要预约景点:
洛阳博物馆、洛阳古墓博物馆、隋唐大运河博物馆
✅洛阳美食
①龙门石窟:三旦羊肉汤、长洲羊肉汤
②洛邑古城:梁山烤肉、新街娟娟麻辣鸡、新街好厨房大盘鸡酸菜鱼、新街周记油炸烧鸡、顺峰水席园
③小街天府:小街锅贴(非物质文化遗产)、丹珍汤圆、担担面、糖醋土豆片、小笼包
✅注意事项:
1️⃣白马寺很大，香火很旺，教资证和学生证都半价，参拜完本寺，可以参观其他不同国家的佛殿，非常有走出国门的即视感，如果可以，一定要穿汉服来拍照，非常有氛围!
2️⃣龙门石窟是世界级艺术瑰宝，需要一点体力爬山，对岸香山寺和白居易的故居建议下午5点前游玩，晚上会亮灯，跟白天完全是不一样的感觉,很有神秘气息!
3️⃣洛阳古墓博物馆又称洛阳古代艺术博物馆,是墓穴群，十分新奇有趣，很有“盗墓笔记”的即视感，里面的壁画也保存完好，具有超高的艺术价值
4️⃣洛阳牡丹花会节是每年的4月10日左右，从4月开始就是赏花的季节了，赏花一定要趁早，建议早上8点前就到赏花处，这里有很多牡丹园，去之前一定找清楚是去哪个牡丹园!
5️⃣十字街是一条小吃街，人非常多，一定要注意看好个人随身物品
6️⃣龙门石窟:景点全程不走回头路，所以观赏西石窟的时候，一定要全部看完了再出西石窟的闸机，否则就没办法再回头观赏了
7️⃣隋唐城遗址植物园，就在洛阳博物馆对面，里面很大有很多绿植，还有湖，可以划船，喂天鹅
8️⃣来洛阳必吃的牛肉汤，来洛阳要尝尝!
洛阳#洛阳旅游攻略 #旅游不踩坑 #本地人做的攻略 #出行攻略 #洛阳旅游攻略 #远赴人间惊鸿宴",63,78,2,https://www.xiaohongshu.com/explore/67b86530000000002602db03?xsec_token=AByms7XnCmbp5uzGbQXsk44jVHwzxDZSptzKUmH13aIBg=&xsec_source=pc_search&source=web_explore_feed,https://sns-webpic-qc.xhscdn.com/202502281355/d5335fbdb0bce6ee33ec48acf409ac56/1040g00831e5oj2gbh26g5pln3emnc98gc92j2jo!nd_dft_wlteh_webp_3,老君山~小昊,,
郑州+开封+洛阳🌟保姆级攻略 不踩雷❗️,"🙋‍♂️一部河南史，半部中国史
💁做为本土的河南人，必须给姐们们总结河南6天5晚的攻略，需要的姐妹们快来🐎住啦～
-
📍D1：出发地➡️郑州
游玩：根据到达时间在市区可以逛一下河南博物院
费用：免f，但要提前2天在小程序上搜索预约
营业时间：9:00-17:00
晚餐：本地特色烩面  人均：15r
住宿：郑州市区
❗️注意：住宿和晚饭都可以在博物院附近，不用来回跑了，附近是市中心也比较繁华
-
📍D2:郑州市区➡️只有河南
🤩几十个真人表演的小剧场，三个大剧场，把你从现实中拉进历史，身临其境的感受和历史的对话
早餐：本地特色胡辣汤  人均：10r
景点：只有河南景区      门票：290r
营业时间：10:00-20:00
午餐：景区内                 人均：30r
推荐大剧场：幻城剧场/李家村剧场
晚餐：开封鼓楼夜市逛吃
住宿：开封
-
📍D3:开封-清明上河园-万岁山武侠城-洛阳洛邑古城
💃性价比很高的两个精华景点，一步入园，仿佛穿越回北宋时期的繁华盛世，古街小巷、民俗表演，沉浸式体验千年前的市井生活
早餐：开封灌汤包          人均：20r
景点：清明上河园  门票：成人120；学生半价
午餐：清明上河园内      人均：50r
景点：万岁山武侠城      门票：80r
晚餐：洛邑古城逛吃
住宿：洛阳
-
📍D4:洛阳龙门石窟-寻迹洛神赋-应天门唐宫乐宴
💅早早的化上妆穿上汉服，打卡拍照，观看演出，体验一把帝王般的快乐
早餐：洛阳牛肉汤        人均：15r
景点：龙门石窟            门票：90r
景点：寻迹洛神赋        门票：198r
晚餐：牡丹宴餐厅
住宿：洛阳
-
📍D5:老君山风景区     门票：100r
⛰️登老君山看十里画廊，登顶金殿，看云海，除了景美更是祈福的好地方
住宿：洛阳
📍D5:洛阳-返程
-
📝河南虽然没有北上广那么繁华，但是历史文化底蕴浓厚，随便拿出来一座城市都是一部历史，快来感受一下历史的沉淀，享受碳水的快乐吧
#游玩攻略 #河南 #河南旅游 #郑州 #开封 #洛阳",6093,6920,725,https://www.xiaohongshu.com/explore/676134bd0000000014025334?xsec_token=ABO-9nbEYxvuc7tAfFu7qTTzSEV3eZEIiRTMnFk0j59Gc=&xsec_source=pc_search&source=web_explore_feed,https://sns-webpic-qc.xhscdn.com/202502281355/ec808dd012989fa1656b609cef49a639/1040g2sg31bgjtllj16cg5pfnshulpo571s9bs6o!nd_dft_wlteh_webp_3,源源旅游,,
去洛阳前听点不一样的大实话吧……,"感谢我的洛阳好朋友，知道我要去洛阳熬夜给我整理了洛阳旅游攻略，太感动了吧😭😭😭😭😭😭😭😭😭😭😭😭
#假期去哪玩 #洛阳  #洛阳旅行  #洛阳旅游  #洛阳攻略  #洛阳同城  #洛阳美食  #洛阳旅游攻略  #洛阳游玩  #河南洛阳",2014,1639,580,https://www.xiaohongshu.com/explore/67b1c5480000000017039ba0?xsec_token=ABSpgDXNrJAeumbDrYk7f21FFBLLysS_d0Z9TjvraTC0w=&xsec_source=pc_search&source=web_explore_feed,https://sns-webpic-qc.xhscdn.com/202502281355/c4e3dd2822ff8f50ffe52e9fcedd9382/1040g2sg31dv9ie1h0m705pf875b19c3q8sv9ebg!nd_dft_wlteh_webp_3,yy去哪玩儿,,
J人好恐怖…朋友做的国庆✈️洛阳攻略震撼到我,"🧾挑战用城市攻略点亮人生地图：14/100
	
💭coco碎碎念：
生产你们的国庆✈️洛阳攻略键盘给我干冒烟了
速速抬上来给各位公主阅读！
大家假期国庆出去玩儿看这一份就够够的了
还有什么问题都问我好吗？好的
	
🚶‍♀️路线规划（常规版不累
Day1:龙门石窟→应天门→天堂明堂→九州池
Day2:洛阳博物馆→白马寺→洛邑古城→丽景门
Day3:老君山一日游
	
（提问🙋下一个城市旅游攻略你们想看哪里👂
	
#洛阳旅行 #洛阳美食 #洛阳旅游攻略 #国庆节旅游 #国庆去哪儿玩 #国庆出游攻略 #国庆旅游",1.6万,2万,274,https://www.xiaohongshu.com/explore/66f27b7d000000002c02922e?xsec_token=ABG88Li_M2jKRsaG7-azOYh1Nsss914-SFTwjtRHbbqE4=&xsec_source=pc_search&source=web_explore_feed,https://sns-webpic-qc.xhscdn.com/202502281356/3d3b9c2fd21898f809d52676d99ba378/1040g0083184fq4igjq005pguem6jcic6jd9rrao!nd_dft_wlteh_webp_3,coco漫游日记,,
【洛阳】三天两夜，一起远赴人间惊鸿宴～,"又要过年啦🧨，千年古都洛阳体验感拉满，奉上三天两夜精华攻略～
DAY1
全国各地到达洛阳
下午：龙门石窟（门票90，游玩时间3-4小时）
建议到龙门站后直接打车到龙门石窟，不到20分钟，景区内有行李寄存柜（麦当劳后面）或者沿街小店都可以寄存，基本20块钱一个箱子。
晚上：洛邑古城（骨折初愈体力不太行就没去，去吃了光头烙馍村，好吃~）
DAY2
上午：白马寺（门票70，游玩时间约2小时）
中国第一座官办寺庙，中泰印缅四种风格的寺庙非常好拍。（PS：门口的鸡蛋饼也很好吃~）
下午：古墓博物馆（免费，提前小程序预约）
一个个小洞窟钻来钻去，个人觉得没有徐州的龟山汉墓有意思，行程紧的考虑下洛阳博物馆吧。
晚上：应天门-天堂明堂-九洲池
在这里拍了汉服，个人建议不用提前团购，应天门旁边街上很多汉服妆造，我们现场去看的，问了几家，比团购便宜，正常200来块全包，摄影师水平真的要看运气了，反正我的照片后期都靠自己。
DAY3
老君山
建议报个一日团，来回接送，直接送到一级索道门口，我们飞猪报的团（249含门票、一级索道）
索道有两程，个人建议坐第一程就可以，然后走十里画廊上山。
划重点：山上风特别大，穿扛风的衣服，带帽子；
山上泡面12一桶热水泡好，不用吭哧吭哧背上山；
有早起团和懒人团，集合时间不同，想看亮灯可以报懒人团，但......人非常多！
小tips：洛阳有地铁，可以高德搜景区对应地铁线路，我们是全部打车的，河南物价很友好，碰到景区门口有打车去同一景点的小伙伴，可以拼车。
洛阳，值得一冲～～～
#春节 #过年好去处 #洛阳 #旅游攻略 #远赴人间惊鸿宴 #老君山 #河南文旅 #河南旅游 #杭州周末去哪儿 @户外薯",225,201,16,https://www.xiaohongshu.com/explore/6790c15a0000000018019eef?xsec_token=ABVkgH4Y3Lj62A-yS49yEZ3yCIIGO5PZuGJq0qUbMuwrY=&xsec_source=pc_search&source=web_explore_feed,https://sns-webpic-qc.xhscdn.com/202502281356/a7a9b902c367da3566d7e24a9c54b374/1040g00831cv1r2ke0s605nmbhuag8k2bp3o2eh8!nd_dft_wlteh_webp_3,仔仔的户外笔记,,
周末离京洛阳两日游，老君山白马寺龙门石窟,"📝路线及行程
（周五下班）北京出发 - （周六）抵达洛阳火车站 - 老君山 - 丽景门 - （周日）白马寺 - 龙门石窟 - 洛阳龙门高铁站 - 回京
	
🚄交通
北京丰台——洛阳，K269：20:47-07:25，票价297
洛阳龙门——北京西，G674：18:36-22:51，票价430
	
🍜食（P7-P8）
第一日：红豆饼、老君山顶吃泡面、牛肉汤、丽景门小吃（糖葫芦、鲜花饼、糯米糕、三指豆腐、水果捞）
第二日：包子、锅贴、不翻汤
	
🏞景点
📍老君山：4.5分（P2-P6）
1、装备衣着：很轻松的登山路线，偶尔运动的人，不需要带登山杖；戴帽子、围巾或面罩，山顶风大，很冷；戴墨镜，阳光热烈刺眼；带保温杯；
2、比起金顶道观群，十里画屏的俊丽山景更吸引我，同样喜欢自然景观的小伙伴建议慢慢走，多去欣赏十里画屏一路的风景；
3、金顶在17点亮灯，12月21日亮灯的时候天还没暗；
4、物价：统一价格，泡面12、水溶C饮料10、肉肠8元。
	
📍白马寺：5分（P9-P13）
1、路线：山门右侧齐云塔院 - 山门 - 中国佛殿古建筑区 - 博物馆 - 止语茶舍 - 外国佛殿建筑区；
2、千万不要错过齐云塔院，院内有释迦舍利塔，是白马寺难得的一片清净区域；
3、博物馆也非常值得逛，既有历史又有展品；
4、止语茶舍里有免费茶水，可以去小憩，让身心安静放松片刻。
	
📍龙门石窟：5分（P14-P19）
1、非常建议请讲解；
2、装备衣着：在伊河旁边，临水冷，多穿衣服；需要爬台阶，穿舒服的鞋；
3、可以在卢舍那大佛前多驻足停留一会儿，静下来好好感受；
4、逛完西山推荐去东山看卢舍那大佛全景，十分震撼。
	
#龙门石窟 #白马寺 #老君山 #丽景门 #洛阳 #牛肉汤 #爬山 #北京周末去哪儿 #周末去哪玩 #不辜负每个周末",36,35,8,https://www.xiaohongshu.com/explore/676931b30000000013003f91?xsec_token=ABaVmgI2qj2t0q0BPQvcgCEskbN4U7LGgNvgCGC5q2JNQ=&xsec_source=pc_search&source=web_explore_feed,https://sns-webpic-qc.xhscdn.com/202502281356/a655d4f547074c1cfc8c1be14c277440/1040g2sg31bodad1eh2dg4a2vg3d8lri399p2ll0!nd_dft_wlteh_webp_3,赵昱晴,,
淡季洛阳丨神都的两天一夜（松弛拍拍版）,"分享下与77的2025年第一场旅行，北京→洛阳，诸多注意事项和路线分享给大家！
	
🚂交通方式：
	
🚊出发：火车K269，北京丰台-洛阳，20：47 - 7：25
卧铺直达，人均200左右，睡一宿出站打车到应天门附近做妆造，3公里非常近
	
🚉回程：T232，洛阳-北京西，22：15 - 6：10
卧铺直达，睡一宿，回家放下行李整理下出门上班不耽误
	
🎮游玩路线：
	
🌅第一天：
8：00   到达应天门附近酒店存行李
8：30   早饭，南关牛肉汤，味道还可以，不用刻意去找网红牛肉汤店（划重点❗❗❗牛肉汤先喝原味汤，然后再加盐和饼丝，喜欢吃辣的可以加点辣椒油）
9：30   按照预约时间到妆造店进行造型（划重点❗❗❗提前跟妆造店约好具体的衣服和发型发饰，还有披风，根据选择的服饰，沟通是否需要带一个超低胸的保暖内衣，不然容易影响古风造型）
11：00  大运河博物馆拍照（提前约好摄影师和拍照时间），一般拍摄时间在1个小时，图2️⃣3️⃣4️⃣
12：30 午饭 随便吃了一口
14：00  白马寺  逛拍逛拍，喜欢佛教的可以去看看，四种国家的佛教建筑，或者去古墓博物馆，建议买讲解，这俩景点二选一，图4️⃣5️⃣6️⃣
18：00  九州池  拍夜景写真，提前约摄影师（划重点❗❗❗带一双适配妆造的古风鞋子，暖宝宝）图8️⃣
19：30  拍摄结束去吃饭，女明星今日通告结束，图9️⃣
20：00  晚饭  塔西海老大·酸浆火锅，本地特色，128双人餐味道还不错，性价比很高，喝的海碧和洛阳宫很一般
21：30  回酒店
	
🌄第二天
9：00  起床  吃早饭（可以选择胡辣汤或者本地特色汤），洗漱化妆收拾出门，寄存行李
11：00  洛阳博物馆，提前3天预约，只要预约成功，全天可进，门口有卖讲解的50/人，11：20跟团入场2小时讲解
13：30  午饭，格外香大盘鸡
15：00  龙门石窟，跟着人流走就行，17：30可以看到一些灯，没有夜游
18：00 晚饭，建坤洛阳水席（本地人推荐），我觉得只有焦炸丸子好吃
19：00  应天门南北广场
21：00  取行李回程
	
🙊周一：🐂🐎
	
#洛阳#洛阳旅行 #龙门石窟 #白马寺#洛阳旅游 #应天门#洛阳博物馆 #北京#周末去哪儿",183,168,31,https://www.xiaohongshu.com/explore/67838fa30000000017039ccd?xsec_token=AB_QqTCH-w78Td0yxUXQP8u2BCYZUxA9kt4t1fXVhINrE=&xsec_source=pc_search&source=web_explore_feed,https://sns-webpic-qc.xhscdn.com/202502281356/5acf47118f3cb63d4b16a73cc8eedd80/1040g00831civ8ijdh0405opmcuh65qjf9pm1ua8!nd_dft_wlteh_webp_3,夏夏Samson,,
洛阳旅行两日速通自由行攻略 感受千年古都,"OG旅行日记 今天介绍中原自驾之 千年古都-洛阳 两日游攻略 公路旅行速通攻略带给大家 找个周末去玩儿吧！
初夏了 用一天时间感受四大古都之一的底蕴和魅力 再用一天体验洛阳周边老君山或者云台山的自然 夏天火热一些 一年四季皆可
🌟第1⃣️天行程🌟
1⃣️一早前往龙门石窟 80/人 60+免 世界文化遗产 提前订票！在里面绕一圈即可 还是很规范的景点 河对面意思不大 可以不去 但可以隔河望主要石窟群 上午挺好没那么热
2⃣️中午前往白马寺 35/人 60+免 中国d一古刹 历史追溯到汉代 看看古建筑还有新建的各国风格的寺 还出片
下午回到城区分别去了
3⃣️应天门 主城门 皇帝出行的必经之路 很宏伟
4⃣️隋唐植物园 免 主题园林 赏花 牡丹已谢 🈶️月季 不必须来
如果不想去植物园也可以选择洛阳博物馆哦 藏品众多 免费
傍晚：
5⃣️丽景门 免费 另一个城门 并且是十字街夜市的一端 可以好好逛逛 免费 历史老街 很热闹！美食丰富！
继续走到Minzhu街 免费 离十字街很近 同样是美食小吃一条街
6⃣️洛邑古城：minzhu街尽头 免费 重建的古城 很多很多穿汉服拍照的游客 晚上来很热闹 🈶️很多约拍 灯光也好看 仿佛回到了古代洛阳的繁华时期
🥣🌟😋河南洛阳美食：只说特色必吃
😋早餐牛肉汤：龙鳞路第一家牛肉汤、南关小碗牛肉汤
😋烩面：哪家更好吃？老字号滋补烩面馆中规中矩
😋水席：管记水席、杏花村水席 都在十字街
😋小吃：水煎包、灌汤包、蒸菜、粉浆面
🏨住宿：古城漫步酒店
🌟第2⃣️天🌟：
🌟老君山或者云台山皆可 另外白云山也是不错的选择 见上两篇文章 喜欢打卡五岳也可以去嵩山与少林寺哦
#周末去哪儿 #河南旅游 #洛阳 #洛阳旅行 #古城 #人文景点分享 #我的旅行日记 #国内旅游日常 #假期去哪玩 #旅途中的美景",43,23,17,https://www.xiaohongshu.com/explore/664305ae000000001e033e85?xsec_token=ABhgUVUr2ntzEIyDXl2wLVD5h5sSoFhuVRYHOAC2MkDog=&xsec_source=pc_search&source=web_explore_feed,https://sns-webpic-qc.xhscdn.com/202502281356/a548b158eaf8e4f9133edcd4d6975fd6/1040g008312p38mvvj4605neclpm08la8ldv5238!nd_dft_wlteh_webp_3,OG旅行日记-Oooooguoannb,,
📍洛阳 | 熬夜整理72小时纯干货攻略（附地图,"🚗交通
1️⃣洛阳站、龙门站、北郊机场（图2）
2️⃣市区内景点集中，有地铁和共享电动车
🏠住宿
1️⃣游玩城区，建议住在应天门或丽景门附近；为出行方便，我第2晚住在老君山附近
🍖食物
1️⃣小吃：牛肉汤、胡辣汤、烩面、道口烧鸡
2️⃣水席：顺峰、毛旦水席园（以汤水为主，胡椒味重，酌情选择）
3️⃣十字街很多实惠美味小吃
💄妆造
城区内随处可见妆造店，有不同价位，按需选择
	
📝路线规划 图2
Day1：白马寺→洛邑古城→丽景门→应天门
📌除了白马寺，其他几个地方适合夜游。建议先去白马寺，下午和晚上再去其他景点游玩
1️⃣白马寺（1-2h）
🎫门票：35
🕰️时间：8点-17点
✅世界的珈蓝，拥有中、印、缅、泰四国风格的佛殿
⚠️建议进南门后右拐，先去齐云塔院，再返回寺庙主体，最后西门出
	
2️⃣洛邑古城（1-2h）
🕰️时间：9点-22点 免fei
✅综合性较强的商业街区，城内还有各类文化藏馆
⚠️古城面积大，坊巷纵横，很适合做装造拍照
	
3️⃣丽景门
🎫门票：45元 （进城楼）；街区免fei
🕰️时间：8点-22点
✅隋唐皇城的西南门。若不买票上城楼，可以到门内的步行街区，主要以拍照和逛街为主
	
4️⃣应天门（1-2h）
🎫门票：60（登楼）
🕰️时间：9点-21点半
✅隋唐宫城的正南门。广场免fei，夜晚广场上城门恢弘大气，登楼性价比不高，赶行程的伙伴只在广场拍照即可
	
Day2：洛阳博物馆→龙门石窟
1️⃣洛阳博物馆（2-3h）
🎫门票：免费（提前预约）
🕰️时间：9点-16点半
✅国家一级博物馆，馆藏丰富，设有多个展馆
⚠️有大件行李寄存点；节假日人多，要蹲点小程序预约票
	
2️⃣龙门石窟（3-4h）
🎫门票：90
🕰️时间：8点-17点
✅石刻艺术宝库，各大石窟之首
⚠️游客中心处可寄存行李；景区大，景点多，建议预留下午和傍晚；如果下午去，可待到亮灯，夜游石窟
	
Day3：老君山→洛阳龙门站
1️⃣老君山
🎫门票：100元
🚠往返：130元（一级）；80元（二级）
🚠上山：6点半-16点；最晚下山：19点半
✅海拔两千多米，以花岗岩地貌为主
⚠️离市区远，需留一天时间；山上温差大，带上防风保暖衣服；有些路段较陡，必备登山棍；山上物价不高，可轻装简行
#洛阳旅游攻略 #河南旅游 #老君山之旅 #龙门石窟",8847,8320,174,https://www.xiaohongshu.com/explore/671b77a70000000021004dff?xsec_token=ABOVM3eFgb47VEQE8QwZ_rD1bj5HOAg33L7du16nR2KNU=&xsec_source=pc_search&source=web_explore_feed,https://sns-webpic-qc.xhscdn.com/202502281356/ce655288af2d772bb34682054e561a76/1040g00831acad8rs6q005pdmt8gjkkdvprj0nr0!nd_dft_wlteh_webp_3,初岁二三,,
洛阳+郑州｜四天三晚不做特种兵✈️,"📍洛阳
Day1️⃣：白马寺+应天门
中午入住酒店后直奔白马寺，领略全球唯一四国官方联合官办寺院。离开白马寺后前往应天门，周围全是妆造馆，挑选了一家连锁的妆造馆，⚠️⚠️⚠️一定要预留妆造时间！我的妆造花了两个小时，赶在唐宫乐宴开始前才进场。
🔔🔔🔔妆造有点小贵，但是值得！（妆造+跟拍💰699）应天门的门票是上不了阙楼的，所以购买了唐宫乐宴的演出门票（🎫268/人），演出结束后可以登阙楼（如果要摄影师上阙楼跟拍，也就得给摄影师也买唐宫乐宴的演出票）
Day2️⃣：大运河博物馆+龙门石窟
没有预约到洛阳博物馆，后来约的大运河博物馆，据说是博物馆美学天花板。下午四点到达龙门石窟，这样可以顺带看到石窟的夜景（⚠️⚠️⚠️注意查看夜游石窟的时间，例如11月现在就暂停了）我们只参观了西山区石窟，走到观佛台后搭乘电瓶车回到景区大门，后乘坐八点半的动车前往郑州。
	
📍郑州
Day3️⃣：只有河南
带着期待预留了一整天的时间给只有河南，没有失望！强推⭐️⭐️⭐️⭐️⭐️每一场表演都直击人心行进式沉浸式的观影让观众变成亲历者，感受这场关于土地、粮食、传承的故事。
Day4️⃣：河南省博物院+二七纪念塔
讲解要提前约！我们没约到当天是周二但是也是很多人，很多研学团队。离开博物院后去了二七纪念塔打了个卡（二七广场附近是步行街购物广场，可以留在晚上打卡）。最后是在丹尼斯大卫城闲逛觅食，等待傍晚的✈️✈️✈️回家噜。
#洛阳 #洛阳旅行 #白马寺 #应天门 #龙门石窟 #郑州 #郑州旅游攻略 #郑州旅行 #只有河南 #河南省博物院",476,473,15,https://www.xiaohongshu.com/explore/67396f9d000000001d03baa4?xsec_token=ABOyUv2n27j4Xv3tOI3wf9MMPvTs6S9Ved8ljWgudZzPc=&xsec_source=pc_search&source=web_explore_feed,https://sns-webpic-qc.xhscdn.com/202502281356/149b68f8827bfcd68c86dababe3d8bff/1040g2sg31a9p2httn2705o4pa0fg86kij35lcio!nd_dft_wlteh_webp_3,小菠菠萝,,
终于熬夜把洛阳景点画清楚了❗️码住不迷路,"敲详细的✅洛阳旅游攻略来咯‼ 1-2月有计划来洛阳游玩的小伙伴们YiDing要收好，建议直接🐎住噢~
✅三天两夜游路线
day1：龙门石窟→应天门→天堂明堂→九州池
day2：洛阳博物馆→白马寺→洛邑古城→丽景门
day3：老君山一日游
#河南旅游#河南旅游攻略#河南亲子旅行 #河南亲子游#只有河南 #洛阳旅行 #洛阳旅游攻略 #开封旅行攻略#河南旅游推荐官 #洛阳旅行 #洛阳旅游攻略 #郑州旅游攻略 #郑州旅游#老君山#开封旅游#开封菊展#菊展攻略",2345,2225,28,https://www.xiaohongshu.com/explore/677f4ad4000000000b0201ea?xsec_token=ABTrh_dhyGifs4PFFy5tWQvXti-xe88jjLtc5cIgzegkM=&xsec_source=pc_search&source=web_explore_feed,https://sns-webpic-qc.xhscdn.com/202502281356/3f96199ae0e46f6ab4fdc098fea42f99/1040g2sg31ce043990m705pei7bv1e7ppo8qjp38!nd_dft_wlteh_webp_3,胖个鱼,,
来洛阳，三天两夜旅游，看这篇就够啦,"交通：火车站：洛阳站（近市区，推荐）龙门洛阳站（近龙门石窟）
机场：洛阳北郊机场（打车到地铁站坐地铁）
地铁：一号线和二号线
住宿：推荐住在王府井附近，离地铁近，商场聚集买东西便利，离各个景点较近，关键是价格也合适。（应天门，丽景门，周王城广场周边都临近地铁）
美食：南关小馆牛肉汤：牛肉汤配上饼丝，油旋和葱油饼，太好吃了，量大实惠（图4，10r肉特别多。也是可以点菜的）
李强养生豆腐汤：汤底是花生露的味道，都是每天早上现磨现熬，配上青菜豆腐粉丝和炸丸子，很推荐大家去试试（图5，10r一大碗，还可以免费呈汤，加上糖就是露露的味道）
 水席：是河南很出名的美食（适合多人食，所以我没有去过）推荐几个店：管记水席，杏花村水席，杜记水席……（大家可以自行选择）图6
小街天府：川菜为主，菜量不大，价格不贵，想吃啥点啥就行啦，味道也是不错的，个人觉得必尝的酸梅汤（真材实料熬制的，和外面的真的不一样，超级超级好喝）图7
前两个都是连锁，宝宝们离哪个近就去哪个啦
来洛阳别忘了尝尝特色汽水海碧
第一天：龙门石窟90r，提前七天预约
洛阳博物馆：免费，提前三天开始预约，周一闭馆
小街天府：24小时营业
第二天：白马寺35r，提前七天预约
妆造（洛邑古城附近）：绾青丝，洛邑公主，衣锦洛城，芳华阁，红了樱桃
洛邑古城：免费，人比较多，大多拍照为主，里面有卖各种各样东西的，沉浸体验古城
应天门：58r进去（对武则天感兴趣的可以进，北广场可以尽情拍照）
天堂明堂86进（在应天门对面，感兴趣的可以进）
丽景门45r登城墙（个人觉得在下面看看）
十字街：小吃街可以逛完之后吃点东西
后四个晚上亮灯后会更好看
第三天：老君山：提前三天预约（包车拼车或者跟团，距离市区很远，独自前往不方便，我当时跟团125r还是很划算的，2.5h路程）
一级索道往返130：推荐都坐，一日游的时间比较短，爬的话可能来不及。
二级索道往返80：可以不用做，走上去即可
然后一路走过云梯，十里画屏，就到金顶啦（亮灯时间：17.40-18.20）
滑道，滑索，电梯（大家根据自己需求选择）
#洛阳 #洛阳旅行 #老君山 #洛邑古城 #洛阳妆造 #洛阳旅游 #洛阳美食",194,299,22,https://www.xiaohongshu.com/explore/67ad84a90000000029009e6f?xsec_token=ABvoYsqKFndENxit8jt5r_UPyVwM15jlrVOmnbeaD2iC4=&xsec_source=pc_search&source=web_explore_feed,https://sns-webpic-qc.xhscdn.com/202502281357/de363122ef6a3082dd4a5e4f0133bbb1/1040g2sg31dr4lu9u0cdg5noh4l8083n03ccb29g!nd_dft_wlteh_webp_3,一颗芋头,,
在洛阳游玩回来，跟大家说些真心话！,"1、唯一一个不给外国人进入的5A级景区老君山必走一趟，大气磅礴的环境真的很震撼。
2、洛阳是十三朝古都，历史底蕴厚重，一定不要跟团，跟团节奏太快，Keng还多，做好攻略自由行就能玩转洛阳。
3、想直接去龙门石窟的朋友可以坐火车高铁到龙门站下车，这里距离龙门石窟就只有四公里左右，早上坐车中午就可以到达。
4、龙门石窟现在没有夜景，想深入游玩可以找一个讲解员，推荐游玩线路：西山石窟-东山石窟-礼佛台-香山寺-白园
5、应天门和明堂天堂靠得很近，可以放在一个晚上去打卡，如果只是想拍个照片是不用买票的。
6、鸡冠洞如果你不是对石头感兴趣的话就不要去了，里面比较冷，注意穿多件外套进入。
7、想喝牛肉汤、羊肉汤之类的朋友没必要去网上的网红店去排队，在大街小巷里面的馆子味道更地道，价格也更实惠。
8、洛邑古城非常适合穿汉服拍照，租汉服时记得问好时间和价格（可以讲价），尤其是晚上，真的随手一拍都是满满的复古风艺术照。
9、洛阳有很多震撼人心的博物馆，有时间建议多走几个，记得提前几天进行预约，因为人很多，当天去很难能进入。
10、去洛阳古墓博物馆需要有点心理准备再进入，因为进入其中你会感觉来到了地府，彷佛每一件物品都在诉说着属于它自己的故事。
11、住宿的话建议选择在老城区的十字街附近，周边是热闹的步行街，出行也很便利，关键价格也实惠，人均消费150左右。
12、记得提前预定好民宿或者是酒店，不要只是看图片来选择，多看一点评论区的反馈。
#洛阳#攻略 #旅行 #老君山之旅 #旅游攻略",66,36,31,https://www.xiaohongshu.com/explore/671c6250000000001b03f85a?xsec_token=ABd0jBPVmDGNAFfwbw3xvXwp2lO4XFnWUCSdxk_OJIlys=&xsec_source=pc_search&source=web_explore_feed,https://sns-webpic-qc.xhscdn.com/202502281357/ddf2af94affb58e32543a464de79f2ea/1040g008319dd7roamc505o71jbf09fr6ip6uaj0!nd_dft_wlteh_webp_3,爱旅游的沐儿,,
