标题,内容,点赞,收藏,评论,笔记链接,图片链接,作者,keyword:南京 旅游 注意事项,2025年02月28日 19:19
南京十大🈲忌，别碰‼️,"👉🏻地铁不要吃东西🙊不可以喝饮料，违罚5️⃣0️⃣
👉🏻特殊的历史背景，不要穿和服👘
👉🏻不用跟团，景点很集中，地铁直达🚇
👉🏻不建议自驾，停车很贵（景区30rmb/h）❗️坐地铁很方便
👉🏻总统府正门12月17日开始永久关闭⚠️不要跑错
👉🏻中山陵修缮❗️到2025年1月20日，🉑打卡2D版
👉🏻情侣谨慎去鸡鸣寺❌（听说鸡鸣寺扶正缘斩孽缘hh）
👉🏻不要在景区买鸭子🦆报吃！街头巷子里的更正宗
👉🏻梧桐大道有野猪🐗出没，打卡需注意安全
👉🏻南京很少下雪，冬季旅游可观赏人工降雪❄️最近金陵STYLE，万象天地等地方都有哦
👉🏻玄武湖附近市集活动扎堆，有固定市集和限时市集❗️注意时间（最近一场在金陵STYLE，年味妙荟）
👉🏻有“鬼市”，凌晨出摊👾地点不固定，需自行关注
👉🏻在新街口过马路要走地下通道✅有24个出口，容易迷路，随时看地标
#南京避雷 #南京 #南京旅游 #南京攻略 #南京野猪 #南京鸭子 #南京地铁 #旅游 #金陵STYLE",2109,1231,401,https://www.xiaohongshu.com/explore/676cc6f8000000001300d57d?xsec_token=AB6eQQ2oH4QMYD06rKQTx8egEKYn8bydcrOdGdbjE3vlY=&xsec_source=pc_search&source=web_explore_feed,https://sns-webpic-qc.xhscdn.com/202502281920/581a0cae5027c202c079b28e67cad3d4/1040g2sg31c4vaiib0c005nrr58qg86hu1v79buo!nd_dft_wlteh_webp_3,小豆糕,,
既然决定去南京✅那这些大坑就别碰,"说句实在话，南京景点又多，消费也不高，蛮适合旅游的。但是，不适合说走就走。第☝️次去南京，没咋做攻略，差点气晕😠。总结了我的一些经验教训，希望给寒假、春节去的宝子们做个参考吧。
#南京美食#南京#南京旅游攻略#南京旅游#南京美食攻略#南京攻略",5015,5751,144,https://www.xiaohongshu.com/explore/67790517000000000900d795?xsec_token=ABL6cnrUNgl0fy0TsQzq6cU2F8eWVmS3xa6JFiN1cHVnY=&xsec_source=pc_search&source=web_explore_feed,https://sns-webpic-qc.xhscdn.com/202502281920/d5a4cfd993002dc4acf8c316d0ec2765/1040g2sg31c7s3kk2gs704a16p837vq5bsqoaqh8!nd_dft_wlteh_webp_3,你吃我的薯片干嘛,,
请问第一次来南京旅游需要租一辆电动车吗❓,"为什么很多人来南京旅游都会选择租个电动车游玩呢？因为南京市区景点分布较为密集，大大小小的景点有很多，特别是遇到节假日，那更是地铁人人人，打车堵堵堵！也不划算！
.
怎么租车？
直接下方商品私信我们，也可在评论区进行留言
租电动车需要驾驶证吗？
我们电动车都是新国标电动车无需驾驶证
续航多久？没电了怎么办？
我们的车子续航50公里，车上都配有充电器！南京现在所有小区都有扫码充电，很方便！
车辆磕碰需要赔偿吗？
我们这边小磕小碰无需赔偿，但是骑行中还是要注意安全，毕竟你们的人身安全才是第一！
租车需要押证件吗？
我们租车不需要押证件的
需要自己买头盔吗？
不需要的，头盔、手机支架、我们这边都是免费提供
租车位置在哪里呢？
地铁2号线明故宫站1号口 ，临近南京博物院，钟山风景区
#城市的一百种玩法 #城市探寻计划 #国庆划得来逛吃指南 #南京旅游租电动车 #骑车去旅行",1,1,1,https://www.xiaohongshu.com/explore/66f91c8f000000001902cf80?xsec_token=ABcVdNWoAkTqenFRWSFnXuQwRtXBaPHtufODdo4Ng5xAg=&xsec_source=pc_search&source=web_explore_feed,https://sns-webpic-qc.xhscdn.com/202502281920/64fd53ea9e8579a5510287c30cd2e87a/1040g2sg318auvbu1gsdg5p41cuuk3v1grv3856o!nd_dft_wlteh_webp_3,钟山风景区金陵租车局,,
南京十大🈲忌，别碰‼️,"👉🏻地铁不要吃东西🙊不可以喝饮料，违罚5️⃣0️⃣
👉🏻特殊的历史背景，不要穿和服👘
👉🏻不用跟团，景点很集中，地铁直达🚇
👉🏻不建议自驾，停车很贵（景区30rmb/h）❗️坐地铁很方便
👉🏻总统府正门12月17日开始永久关闭⚠️不要跑错
👉🏻中山陵修缮❗️到2025年1月20日，🉑打卡2D版
👉🏻情侣谨慎去鸡鸣寺❌（听说鸡鸣寺扶正缘斩孽缘hh）
👉🏻不要在景区买鸭子🦆报吃！街头巷子里的更正宗
👉🏻梧桐大道有野猪🐗出没，打卡需注意安全
👉🏻南京很少下雪，冬季旅游可观赏人工降雪❄️最近金陵STYLE，万象天地等地方都有哦
👉🏻玄武湖附近市集活动扎堆，有固定市集和限时市集❗️注意时间（最近一场在金陵STYLE，年味妙荟）
👉🏻有“鬼市”，凌晨出摊👾地点不固定，需自行关注
👉🏻在新街口过马路要走地下通道✅有24个出口，容易迷路，随时看地标
#南京避雷 #南京 #南京旅游 #南京攻略 #南京野猪 #南京鸭子 #南京地铁 #旅游 #金陵STYLE",2109,1231,401,https://www.xiaohongshu.com/explore/676cc6f8000000001300d57d?xsec_token=AB6eQQ2oH4QMYD06rKQTx8egEKYn8bydcrOdGdbjE3vlY=&xsec_source=pc_search&source=web_explore_feed,https://sns-webpic-qc.xhscdn.com/202502281920/581a0cae5027c202c079b28e67cad3d4/1040g2sg31c4vaiib0c005nrr58qg86hu1v79buo!nd_dft_wlteh_webp_3,小豆糕,,
既然决定去南京✅那这些大坑就别碰,"说句实在话，南京景点又多，消费也不高，蛮适合旅游的。但是，不适合说走就走。第☝️次去南京，没咋做攻略，差点气晕😠。总结了我的一些经验教训，希望给寒假、春节去的宝子们做个参考吧。
#南京美食#南京#南京旅游攻略#南京旅游#南京美食攻略#南京攻略",5015,5751,144,https://www.xiaohongshu.com/explore/67790517000000000900d795?xsec_token=ABL6cnrUNgl0fy0TsQzq6cU2F8eWVmS3xa6JFiN1cHVnY=&xsec_source=pc_search&source=web_explore_feed,https://sns-webpic-qc.xhscdn.com/202502281921/139233edf31b914a74d0449339ef4844/1040g2sg31c7s3kk2gs704a16p837vq5bsqoaqh8!nd_dft_wlteh_webp_3,你吃我的薯片干嘛,,
后悔没有早点发现，旅游必备✔️,"🚀最近计划来南京旅游的宝子们，帮大家整理出了南京旅游必备行李及游玩小贴士，无论什么时候出发，10分钟就能收拾好行李，快快点赞收藏！
	
南京旅游重要物品准备：
💳证件:身份证、学生证(各种优惠证件)
💰财物:银行卡、现金
🔌电子产品必备:手机、充电宝、耳机、转接头、不同接口充电线
随心备:相机、自拍杆、三脚架、ipad、电脑
洗漱用品
☀防晒用品:冰袖、防晒霜/喷雾、防晒衣、帽子、防晒伞、墨镜
🏚住宿用品:牙刷、牙膏、一次性马桶垫、洗面奶、一次性浴/毛巾、洗发水、沐浴露、身体乳、护发素、唇膏、剃须刀
👕衣物类
衣服鞋包:外套、上衣、裤子、裙子（南京近期升温，天气较热，可以选择短袖+薄外套）、一次性袜子、帽子、包包、鞋子(拖鞋、平底鞋、运动鞋)、睡衣睡裤、饰品(耳环、项链、戒指等)
🎀化妆用品
护肤:护肤品(水、乳、精华、面霜、眼霜、防晒)、面膜
彩妆;隔离、气垫、粉底液、散粉、眉笔、眼线笔、眼影、腮红、口红、卸妆油、卸妆棉
🧻卫生用品
必备:姨妈巾、纸巾、湿、免洗酒精洗手液、口罩、酒精棉、创可贴等
📍其他物品
应急药品、眼药水、伞/一次性雨伞、防蚊喷雾、止痒膏、保温杯、发带(可摆拍)、咖啡、茶包、密封袋、毯子、眼罩、耳塞、便携烧水壶头巾、遮阳帽、面罩、水壶
	
✅南京出游小tips：
	
1⃣提前查好南京旅游攻略，订好酒店机票
2⃣下载好南京旅行必备的一些app，zfb申请南京地铁卡，公交卡
3⃣出门前，预留够足够时间上车，高铁提前半小时到（首选南京站南京站距离市区较近，交通方便），节假日提前一小时到，飞国内提前两小时到机场
4⃣查好南京最近几天的天气，既要带适合拍照的漂亮衣物也要带适合赶路的舒适服装
5⃣提前一周请好假，方便公司做好人事安排，也避免旅行计划被耽误
6⃣提前告知家里人或者熟悉的朋友自己的旅行安排，留好紧急联系方式
7⃣出门前检查门窗是否关闭，电源是否切段(冰箱除外)，收拾好家里的贵重物品，出门前顺手带上垃圾
8⃣家里的宠物记得寄养好
	
⚠出差在外 安全最重要🙏
	
💃最后就是带上你的热情和勇气 勇敢的人先看世界！
近期想来南京旅游的宝子们可以点击【立即预约】，丝我发送“出行日期+时间”哦~
	
#南京 #南京旅游 #旅游攻略 #出行必备 #清明节 #清明 #清明节南京",574,431,6,https://www.xiaohongshu.com/explore/660a9119000000000401aa33?xsec_token=ABYbKd6reUOnTPOJUljKCrTgPeMioPnPuj8Mq9PQuDuu0=&xsec_source=pc_search&source=web_explore_feed,https://sns-webpic-qc.xhscdn.com/202502281921/b6306cce999c292f9b6c846563978c01/1040g2sg31120ejtsma605osip7lnqs29scsfst8!nd_dft_wlteh_webp_3,大洋国际旅行社,,
听劝帖！😡来南京不要背包真的崩溃……,"1月跟朋友来南京！吃住上都没什么大问题！甚至可以说完美！就是来的时候带好多行李是真的难拿！真的听劝别带太多东西去景区玩！
这篇完全自己总结出来给大家避避雷！
🆓免费行李寄存记得这些地方！
🏮春节版三天路线已经总结好可以完全无脑照抄！
😋吃过不踩坑美食分享
⚠️来南京注意事项
🚇地铁沿线景点及实用住宿参考#当代年轻人旅游现状 #拒绝特种兵式旅游 #避开高峰期旅游 #南京旅游 #南京过年旅游 #过年南京旅游 #大学生出行必备 #旅游",175,188,1,https://www.xiaohongshu.com/explore/678de99a000000001c00c62d?xsec_token=ABzHoNfDcknYU3KwsQzgf_bgyCNnzGfiBcqnL1ZhC5pU8=&xsec_source=pc_search&source=web_explore_feed,https://sns-webpic-qc.xhscdn.com/202502281921/724f2f2f02904bf5513c33afbff0383f/1040g00831cs909emgu6g5ofts9ck1d8u11pg0s8!nd_dft_wlteh_webp_3,Galaxyllll,,
既然淡季去南京，这些大实话一定要知道,"2到3月的时候是南京淡季，人很少酒店机票价格都很便宜，景点预🈷️也容易很多！！
但是还有很多注意事项需要提前避💣、不然来了之后就是各种采坑，本地人总结了一份超全旅游攻略，来南京之前一定要码住慢慢看！
#本地人做的攻略 #旅游不踩坑 #穷游攻略 #攻略吃喝玩乐 #南京旅游 #南京美食 #大学生旅游特种兵",215,151,8,https://www.xiaohongshu.com/explore/67bb069a000000002901bdd4?xsec_token=ABpIqEzr-y12t7sVl2ojTwxt5OEIiM6KFQ61nb22nQ5nY=&xsec_source=pc_search&source=web_explore_feed,https://sns-webpic-qc.xhscdn.com/202502281921/b14fafc640a03f24eefc9120f2a75b53/notes_pre_post/1040g3k831e8ald9cgs705pca7eq83nbg4t7avv8!nd_dft_wlteh_webp_3,喜多Fido,,
谁懂啊…去南京玩三天只花了八百块🤣,"说实话，说走就走的旅行虽然很酷⚡️但是做了攻略给我省了不少避免踩了很多坑哈哈！🥳南京很好但每个地方都有想象不到的雷，根据我去了8次南京的经验🙆给大家整理了一篇👍攻略，希望可以帮助到大家！
-
✅南京博物院：gzh南京博物院（提前7天）
✅中山陵：gzh钟山风景区（提前3天）
✅总统府：gzh总统府（提前3天）
✅大报恩寺：gzh大报恩寺（不用提前）
✅遇难同胞纪念馆：qhrj遇难同胞纪念馆（提前7天）
❗️：遇难同胞纪念馆于11.11-12.13修缮闭馆
⚡️大报恩寺：夜游点灯很好玩！灵气充盈适合许愿，本地朋友说许愿池有求必应！不愧是金陵祈福圣地～
-
📍住宿
比较建议：1️⃣新街口2️⃣大行宫3️⃣夫子庙
🚗交通
1️⃣高铁站：南京南站、🚇1/3号线直达市区
2️⃣火车站：南京站、🚇1/3号线直达市区
3️⃣机场：禄口机场、🚇s1号线和机场大巴
4️⃣公交：线路很发达、直达各个景点
5️⃣地铁：线路很发达、优先选择地铁出行
6️⃣单车：共享单车很多但没有共享电车
7️⃣打车：上下班高峰期很堵起步9r/三公里
-
宝藏店铺：
1️⃣口口火山：麻辣烫、板栗南瓜小丸子（其他手工糖水也很好吃）
2️⃣鸿福面馆：皮肚大肉面、老卤大肉面（我个人也很喜欢牛肉干挑）
👍特色美食
1️⃣小厨娘淮扬菜（湖南路）：太祖金陵脆皮烤鸭、松鼠桂鱼（他家27年老品牌了！）
2️⃣泥炉烧肉师：碳烤活鳗鱼、手工酸奶（四年必吃榜谁懂）
3️⃣朱小乐龙虾馆：干煸精品小蓝龙、羊蝎子（明星同款！）
4️⃣米辣（景枫中心）：泰式古法咖喱虎虾、冬阴功海鲜汤（必吃榜他家！主厨做了40年了）
5️⃣火山屋台：奶油咖喱乌冬面、黄油啤酒（常年必吃榜，可有漫画感了）
6️⃣伊兹铁板烧：战斧牛排、爱心炒饭（花小钱装大杯）
7️⃣秋也家：莫奈窗口别忘了拍！香水印章很适合送人！美妆小样可以救急！
#南京 #大声安利本地美食 #南京旅游攻略#南京吃喝玩乐 #南京 #南京美食 #本地人爱吃的店 #南京旅游 #南京新街口美食",6538,6180,39,https://www.xiaohongshu.com/explore/674dcde20000000007024732?xsec_token=ABPuMw323Vfc3v-NDVj7grg7AYXhZmp3v9nixQEGrgBs8=&xsec_source=pc_search&source=web_explore_feed,https://sns-webpic-qc.xhscdn.com/202502281921/4894ae3e034571d1c87026a6929bfd42/1040g2sg31atlk14b72705oe9noc40t150n8eieg!nd_dft_wlteh_webp_3,阿美,,
替你们试过了！来南京真的不要背包😭,"非必要能不带包就别带包吧！到了景点再到处找存包柜真的很麻烦，尤其是有的存包柜也挺贵的，找不到或者存满了真的很影响游玩的心情…给大家整理了一些热门景点存包攻略和南京攻略，希望对大家有帮助。
❗️❗️南京博物院过安检检查包浪费时间
❗️❗️钟山风景区很大，包重了很累！
都是血泪教训，大家旅游可以轻便出行尽量轻便出行吧！
-游玩路线建议（不走回头路）
1️⃣：梧桐大道-明孝陵-鸿福面馆-中山陵-音乐台-中山植物园
2️⃣：雨花台-小厨娘昆音雅宴-老门东-秋也家-大报恩寺-夫子庙
3️⃣：新街口-颐和路-松澜·烧鸟酒场-玄武湖-鸡鸣寺-回家
-避雷建议：
1️⃣去南京博物馆、同胞纪念馆、中山陵、总统府这四个地方要预月！
2️⃣明孝陵6:30前不要门票，梧桐大道和音乐台也是早上拍照好看！
3️⃣想吃鸭子可以去小厨娘昆音雅宴吃金陵脆皮烤鸭！真的是来南京必吃
4️⃣部分地铁没有下行电梯！（大多数有）可以用南京地铁公主号查询！
5️⃣来南京必做的事：大报恩寺夜游、秋也家莫奈窗口拍照📷、钟山风景区赏秋
-🥺南京美食建议：
1️⃣小厨娘昆音雅宴（万象天地）：太祖金陵脆皮烤鸭、松鼠桂鱼
2️⃣辣当家（瑞阳街）：山城豆花、手工古法酸梅汤
3️⃣米辣（景枫中心）：泰式古法咖喱虎虾、冬阴功海鲜汤
4️⃣泥炉烧肉师（新街口）：炭烤活鳗鱼、牛肋条
5️⃣松澜·烧鸟酒场（新街口）：烧鸟、葱花蛋卷
6️⃣口口火山（新街口）：麻辣烫、板栗南瓜小丸子
7️⃣鸿福面馆（钟山风景区）：老卤大肉面、大肉皮肚面
8️⃣朱小乐龙虾馆（凤凰西街）：干煸精品小蓝龙、羊蝎子
#南京 #南京旅游 #南京旅游打卡攻略 #南方的冬天
#南京梧桐大道 #网红打卡 #南京美食 #南京音乐台 #美食",2369,1940,48,https://www.xiaohongshu.com/explore/674a96f9000000000702afc2?xsec_token=ABGOb89d5G1mdfZiglT7lwX5TpRjkjx8JNWCj09wp25go=&xsec_source=pc_search&source=web_explore_feed,https://sns-webpic-qc.xhscdn.com/202502281921/8a23cfa4800ed91b8ddc3de462ad2fad/1040g2sg31aqh5i106o705p9vgp3ghotcbgdpus8!nd_dft_wlteh_webp_3,小鱼,,
替你们试过了！来南京真的不要背包😭,"非必要能不带包就别带包吧！到了景点再到处找存包柜真的很麻烦，尤其是有的存包柜也挺贵的，找不到或者存满了真的很影响游玩的心情…给大家整理了一些热门景点存包攻略和南京攻略，希望对大家有帮助。
❗️❗️南京博物院过安检检查包浪费时间
❗️❗️钟山风景区很大，包重了很累！
都是血泪教训，大家旅游可以轻便出行尽量轻便出行吧！
-游玩路线建议（不走回头路）
1️⃣：梧桐大道-明孝陵-鸿福面馆-中山陵-音乐台-中山植物园
2️⃣：雨花台-小厨娘昆音雅宴-老门东-秋也家-大报恩寺-夫子庙
3️⃣：新街口-颐和路-松澜·烧鸟酒场-玄武湖-鸡鸣寺-回家
-避雷建议：
1️⃣去南京博物馆、同胞纪念馆、中山陵、总统府这四个地方要预月！
2️⃣明孝陵6:30前不要门票，梧桐大道和音乐台也是早上拍照好看！
3️⃣想吃鸭子可以去小厨娘昆音雅宴吃金陵脆皮烤鸭！真的是来南京必吃
4️⃣部分地铁没有下行电梯！（大多数有）可以用南京地铁公主号查询！
5️⃣来南京必做的事：大报恩寺夜游、秋也家莫奈窗口拍照📷、钟山风景区赏秋
-🥺南京美食建议：
1️⃣小厨娘昆音雅宴（万象天地）：太祖金陵脆皮烤鸭、松鼠桂鱼
2️⃣辣当家（瑞阳街）：山城豆花、手工古法酸梅汤
3️⃣米辣（景枫中心）：泰式古法咖喱虎虾、冬阴功海鲜汤
4️⃣泥炉烧肉师（新街口）：炭烤活鳗鱼、牛肋条
5️⃣松澜·烧鸟酒场（新街口）：烧鸟、葱花蛋卷
6️⃣口口火山（新街口）：麻辣烫、板栗南瓜小丸子
7️⃣鸿福面馆（钟山风景区）：老卤大肉面、大肉皮肚面
8️⃣朱小乐龙虾馆（凤凰西街）：干煸精品小蓝龙、羊蝎子
#南京 #南京旅游 #南京旅游打卡攻略 #南方的冬天
#南京梧桐大道 #网红打卡 #南京美食 #南京音乐台 #美食",2369,1940,48,https://www.xiaohongshu.com/explore/674a96f9000000000702afc2?xsec_token=ABGOb89d5G1mdfZiglT7lwX5TpRjkjx8JNWCj09wp25go=&xsec_source=pc_search&source=web_explore_feed,https://sns-webpic-qc.xhscdn.com/202502281921/8a23cfa4800ed91b8ddc3de462ad2fad/1040g2sg31aqh5i106o705p9vgp3ghotcbgdpus8!nd_dft_wlteh_webp_3,小鱼,,
春季南京旅游别去错地方了❗来看看红黑榜,"🌟春季南京旅游景点攻略🌟
👉2-3月有计划去南京旅游的姐妹们！不做攻略真的很容易踩坑，这份游玩路线和避坑指南可以放心码住！💯全片干货，旅游小白也可以放心冲哦！祝大家都能在南京玩得开心哦~
.
⭕春季来南京吃什么❓
🔴李百蟹（夫子庙店）
🔴状元楼· 闻喜中餐厅（夫子庙店）
🔴晚园江南火锅（夫子庙店）
●徐家鸭子
●芮卡（新街口）
●陶记正宗德州扒鸡
●徐家鸭子（秦虹南路）
●庙东排骨
.
💡南京注意事项
✔️南京博物院、遇难同胞纪念馆、zong统府、中山陵等景点周一闭馆，不要白跑一趟啦！
✔️想喝下午茶甜品的，可以去少伯茶苑茶馆，里面有好多种茶和小吃甜品，环境也很典雅，拍照很出片，就在夫子庙附近很方便~
✔️南京博物院和遇难同胞纪念馆建议提前7天预约
✔️南京博物院和南京博物馆是两个地方， 博物院是免费的，博物馆是收费的，不要搞错啦！
.
🏡南京住宿
①夫子庙 - 秦淮河区域 距离夫子庙、秦淮河风光带、中华门等景点近在咫尺，出行便利 推荐住宿：🔴花筑· 僖堂民宿🔴，干净卫生、性价比高， 邻近夫子庙、秦淮河，游玩方便
②新街口 地铁1号线和2号线在此交汇，乘坐地铁可快速抵达夫子庙、玄武湖、南京博物院等各大景点
③玄武湖周边 邻近玄武湖、鸡鸣寺等景点，交通便捷，地铁1号线、3号线可直达
﻿﻿#南京﻿﻿#旅游﻿﻿#旅行﻿﻿#美食﻿﻿#旅游攻略﻿﻿#南京美食﻿﻿#南京旅游﻿﻿#南京旅游攻略﻿﻿#南京吃喝玩乐﻿﻿#南京旅行﻿",7,3,1,https://www.xiaohongshu.com/explore/67c0163b000000001203d2cf?xsec_token=ABvBv43RBC_8Rd1DLWPauI7yu3iP7qShw_tSRbJat3yL0=&xsec_source=pc_search&source=web_explore_feed,https://sns-webpic-qc.xhscdn.com/202502281921/b4332ff3afa56c893d2dbf17da7bc438/spectrum/1040g0k031ed8kqrmg8005pt35rgi2m6lo8u9ch8!nd_dft_wlteh_webp_3,蛋黄小酥,,
2-4月来南京旅游不看这篇‼小心被宰......,"今年2-4月计划南京旅游的直接抄作业‼真的不允许还有人😡因为没做好攻略而踩雷，都是可以避免的💢熬夜制作了一份南京旅游攻略，有需要的姐妹可以码住！
·
南京景点预月指南
南京博物院：提前7天预月，周一闭馆
遇难同胞纪念馆：提前7天预月，周一闭馆
总统府：提前3天预月，门票35r，周一闭馆
中山陵：提前3天预月，通票100r，周一闭馆
红山动物园：提前1天买票，门票40r
·
南京bi.吃特色
南京烤鸭———-小厨娘淮扬菜
大肉面————-居民楼下的都好吃
凤爪煲————-第五季大排档
奶油咖喱乌冬面———-火山屋台2.0
梅花糕—————-老门东
牛肉锅贴————-桥北拉面大王/李记清真馆
﻿#南京旅游﻿ ﻿#南京﻿ ﻿#来南京怎么玩﻿ ﻿#南京美食﻿ ﻿#旅游攻略﻿ ﻿#小众旅行地﻿ ﻿#旅行﻿",11,9,3,https://www.xiaohongshu.com/explore/67bfcad2000000002901bc56?xsec_token=ABbmTOgt9j5qDYMaIFMFh1pWyL83fdKvVdeHeo6Rtnzq0=&xsec_source=pc_search&source=web_explore_feed,https://sns-webpic-qc.xhscdn.com/202502281921/ba51f931cfaa0c51c936897b7dd71c60/spectrum/1040g34o31ecv71suge405pkl65s3uq2pjp47tro!nd_dft_wlteh_webp_3,小鱼不吃鱼,,
来南京必须要注意的N件事（建议收藏）,"🙃近期，“南京地铁喝水”事件被推上了风口浪尖，具体事情放在P2，简单来说就是“一个女生反映在地铁上喝水被罚款，发DY痛骂南京”，最后南京地铁发通告说明“该女生喝的是果汁且仅仅只是告知单未罚款”
	
🙋‍♀️其实这个“地铁上不允许吃喝”规定，14年就已经开始实施，到现在近十年，南京人民也能正常的遵守，为什么网络发达了之后，会出现这种不对自己言论负责还有一群不明事理说凭什么不给吃东西喝东西的人呢？还有一群开地图炮的
	
💁‍♂️我希望来南京旅游的小伙伴，入乡随俗，遵守当地的规定，这样自己的旅程也会更加的舒适吧，如果总是这种斤斤计较的心态，反而不会有很好的体验。
	
💁‍♂️接下来跟大家说几个南京旅游的注意事项，大家速速码住
住宿：不要选择新街口夫子庙，又贵又不方便，新街口出口太多步行麻烦，有其他的推荐，大家可以看一下之前的住宿推荐（地铁站附近都可以，南京🚇很方便）
交通：尽量选择地铁+共享单车/滴滴的形式，南京地铁很凉快，注意：不要在🚇上吃喝，在站台或者车厢外都是可以的！忍一忍
景区：大部分景区都需要提前预约，南京博物院，遇难同胞纪念馆，总统府，牛首山。中山陵、博物馆、美术馆、规划馆、科技馆等周一闭馆，🐬买票会便宜一点
夫子庙：不要在夫子庙买真空包装的烤鸭盐水鸭和乱七八糟的小吃，来夫子庙两件事①夜晚游船②文创商店，其他的🙅
老门东：东西也很一般，如果想去体验一下的话，倒也没有太大必要，德云社在里面演员比较拉垮，其他的没啥
牛首山：大榴莲很壮观，不过天热很不舒适，观光车等待时间太久，慎重考虑！
City Walk：①阅江楼—轮渡—浦口火车站（朱自清背影），②某某专属打卡线路，见专辑
防暑防虫：记得及时补水，小心中暑，带好花露水，树多蚊虫多
茶颜悦色：南京茶颜近20家，小程序可以看到排队情况，不要傻愣愣的去新街口和夫子庙老门东买。同样南京的马伍旺、十三茶、小金金手作也非常不错
科巷：别去，南京的传统小吃都在红庙茶南两个地方多一些，科巷东西巨难吃
小吃街：首选义乌，东西多一些，虽然口味大差不离
演唱会：奥体的是塑料凳，青奥是沙发椅，来看演唱会的小伙伴要注意区分哦，同样这俩也不在一个地方
	
大概就想到这么多，大家想到可以补充一下！
#南京 #南京旅行 #周末去哪儿",75,69,3,https://www.xiaohongshu.com/explore/64c25901000000000103edcd?xsec_token=ABlRDqlAbRBStmU-2lIjCdj25xRzXq4dDqJEUBrLLyv2U=&xsec_source=pc_search&source=web_explore_feed,https://sns-webpic-qc.xhscdn.com/202502281921/4c6a0af880c21ac66b1f49f2b1285ecb/1040g00830n1fje9t5g5g5o4fhdfg8jntf9l4j88!nd_dft_wlteh_webp_3,去冰三分糖,,
听劝👂2-3月来南京的姐妹请🐴住,"第一次去南京的旅游攻略，还好提前刷到了
南京旅游攻略，2-3月来南京的姐妹们听劝，不要错过这份攻略啦，大家如果寒假有想来南京旅游的姐妹们，可以作一个参考哦！ 希望即将要去南京游玩的姐妹们都能够避坑❗
-
🌈南京2月天气情况
平均温度：1℃-9℃，建议短款穿羽绒服、棉服、厚外套、毛衣、卫衣等衣服
-
📍清晨景点推荐：
🕊音乐台：清晨的音乐台格外宁静，推荐打车或租小电驴前往，迎接第一缕阳光。
🌳梧桐大道：向导航报上“灵谷寺路”，到达这条凉爽的梧桐树荫道，跟着初升的阳光漫步。
玄武湖+鸡鸣寺：先在鸡鸣寺内寻求一份宁静，再到玄武湖边感受晨风的凉爽，拍摄城墙美景。
📍白日适合游玩的室内景点：
南京博物院、遇难同胞纪念馆、六朝博物馆：这些地方不仅暖和还能了解南京丰富的历史文化。
先锋书店、牛首山、德基广场：在有空调的环境下，享受阅读、艺术与购物的乐趣。
📍夜晚推荐景点（凉夜+夜景）：
⛩夫子庙、秦淮河、老门东、金陵小城：夜晚的古城区别有一番风味，夜市、灯光、文化，让夜晚的南京更加迷人。
-
🍲关于美食： 小厨娘淮扬菜 红公馆 南京大排档 这三家味道都很好 鸭血粉丝、赤豆元宵、梅花糕、牛肉锅贴、烤鸭也可以尝尝哦～
-
图文已收权@哇呀熊崽
#南京旅游 #南京 #假期 #假期倒计时 #南京 #南京旅行 #小众旅游 #春节 #周末去哪玩 #秦淮河",2748,2725,98,https://www.xiaohongshu.com/explore/67a5dc050000000029025be6?xsec_token=ABjm2TazVu885kDADUYcTR5w7pMCoHNjmiwApY1K4-ba4=&xsec_source=pc_search&source=web_explore_feed,https://sns-webpic-qc.xhscdn.com/202502281921/b9053151bd1383e06f5815f564c52da3/1040g2sg31djlb2iu0m705pqhcrhn33u4hf86q88!nd_dft_wlteh_webp_3,木鸟油泥窝斯,,
既然决定去南京，那这些大忌一定不要碰🈲,"来南京其实需要注意的事情还是很多的，如果遇到坑不小心陷进去，真的影响心情！下面说一些南京旅游攻略！帮大家排雷！
-
①关于南京各种景点、出行、打卡、美食的注意事项！
🙌🏻交通——出行建议直接选择地铁，景点基本上都能到达
●可以深度逛：
📍大报恩寺：
之前只知道它是个琉璃塔，后来才知道它与罗马斗兽场、比萨斜塔、长城等一道被称为中世纪世界七大奇迹，并被西方人视为代表中国文化的标志性建筑之一，来这🙏也很灵～
📍秋也家：
老门东里藏着的惊喜！一家香水博物馆，感觉在里面逛好久，看见情侣打卡门口的莫奈窗口感觉很养眼！还领了香香的香水印章买了Ｑ香
-
②来南京一定要打卡的景点！很值！
③天冷、天热、下雨可以玩的景点(室内景点)
④来南京必吃的好东西
✔️小厨娘昆音雅宴(万象天地/夫子庙附近)
✔️泥炉烧肉师(新街口)
✔️伊兹铁板烧(老门东)
✔️松澜烧鸟酒场(新街口)
✔️口口火山(新街口)
✔️鸿福面馆(苜蓿园)
✔️朱小乐小龙虾(凤凰西街)
✔️米辣(景枫中心)
#南京攻略 #南京",3458,2589,98,https://www.xiaohongshu.com/explore/6749ae450000000002039760?xsec_token=ABh4UoddXqFgoYQxo7i7JVOEfmXM3s0uy2RgjOGalE2pM=&xsec_source=pc_search&source=web_explore_feed,https://sns-webpic-qc.xhscdn.com/202502281921/b76b1018118aeeb89d64a465ad333cbf/1040g00831apkogpsn2005n4c6fb5hqagdpf6q5o!nd_dft_wlteh_webp_3,潘达不是熊猫,,
